"actor_name","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Liam O'Brien",1,"Vax'ildan",8,1330000,1330,22.1666666666667,81.4451928965095
"Ashley Johnson",1,"Pike",8,1329000,1329,22.15,81.3839559093692
"Laura Bailey",1,"Vex'ahlia",8,1327000,1327,22.1166666666667,81.2614819350888
"Travis Willingham",1,"Grog",8,1312000,1312,21.8666666666667,80.3429271279853
"Marisha Ray",1,"Keyleth",7,1145000,1145,19.0833333333333,70.1163502755664
"Matthew Mercer",4,"Trinket, Agar, Fisherman, Narrator",9,1130000,1130,18.8333333333333,69.197795468463
"Taliesin Jaffe",1,"Percy",7,1127000,1127,18.7833333333333,69.0140845070423
"Sam Riegel",1,"Scanlan",7,1056000,1056,17.6,64.6662584200857
"Indira Varma",1,"Lady Allura Vysoren",3,417000,417,6.95,25.535823637477
"Khary Payton",1,"Sovereign Uriel",2,239000,239,3.98333333333333,14.6356399265156
"Tony Hale",1,"Sir Fince",2,234000,234,3.9,14.3294549908145
"Stephanie Beatriz",1,"Lady Kima of Vord",2,233000,233,3.88333333333333,14.2682180036742
"David Tennant",1,"General Krieg",2,229000,229,3.81666666666667,14.0232700551133
"Logic",1,"Palace Guard",1,210000,210,3.5,12.8597672994489
"Maximus Riegel",1,"Boy",1,74000,74,1.23333333333333,4.53153704837722
"Zoe O'Brien",1,"Girl",1,74000,74,1.23333333333333,4.53153704837722
"Mason Alexander Park",1,"Tavern Keeper",1,51000,51,0.85,3.12308634415187
