"item_id","actor_name","character_name","character_name_standardized"
"/name/nm0043552/Percival de Rolo","Taliesin Jaffe","Percival de Rolo","Percival"
"/name/nm0726184/Scanlan Shorthalt","Sam Riegel","Scanlan Shorthalt","Scanlan"
"/name/nm0992184/Grog Strongjaw","Travis Willingham","Grog Strongjaw","Grog"
"/name/nm1154161/Vex'ahlia Vessar","Laura Bailey","Vex'ahlia Vessar","Vex'ahlia"
"/name/nm1240448/Vax'ildan Vessar","Liam O'Brien","Vax'ildan Vessar","Vax'ildan"
"/name/nm0005026/Anna Ripley","Kelly Hu","Anna Ripley","Anna Ripley"
"/name/nm0217221/Deliliah Briarwood","Grey DeLisle","Deliliah Briarwood","Deliliah Briarwood"
"/name/nm2233310/Sylas Briarwood","Matthew Mercer","Sylas Briarwood","Sylas Briarwood"
"/name/nm2962727/Cassandra","Esmé Creed-Miles","Cassandra","Cassandra de Rolo"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm0424534/Pike Trickfoot","Ashley Johnson","Pike Trickfoot","Pike"
"/name/nm0868659/Keeper Yennen","Gina Torres","Keeper Yennen","Keeper Yennen"
