"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Travis Willingham","Grog",5,263000,1404000,1067000,1,5,1067,17.7833333333333,4.38333333333333,23.4,63.3986928104575
"Sam Riegel","Scanlan",5,263000,1404000,1064000,1,5,1064,17.7333333333333,4.38333333333333,23.4,63.2204396910279
"Ashley Johnson","Pike",6,263000,1404000,1060000,1,5,1060,17.6666666666667,4.38333333333333,23.4,62.9827688651218
"Liam O'Brien","Vax'ildan",6,263000,1404000,1053000,1,5,1053,17.55,4.38333333333333,23.4,62.5668449197861
"Marisha Ray","Keyleth",5,263000,1404000,928000,1,5,928,15.4666666666667,4.38333333333333,23.4,55.1396316102198
"Laura Bailey","Vex'ahlia",5,263000,1404000,916000,1,5,916,15.2666666666667,4.38333333333333,23.4,54.4266191325015
"Taliesin Jaffe","Percival",5,263000,1404000,916000,1,5,916,15.2666666666667,4.38333333333333,23.4,54.4266191325015
"David Tennant","General Krieg",4,21000,1012000,858000,1,5,858,14.3,0.35,16.8666666666667,50.9803921568627
"Tony Hale","Sir Fince",3,245000,757000,498000,1,5,498,8.3,4.08333333333333,12.6166666666667,29.5900178253119
"Khary Payton","Sovereign Uriel",2,220000,1402000,286000,1,5,286,4.76666666666667,3.66666666666667,23.3666666666667,16.9934640522876
"Indira Varma","Lady Allura Vysoren",2,228000,1407000,273000,1,5,273,4.55,3.8,23.45,16.2210338680927
"Stephanie Beatriz","Lady Kima of Vord",2,228000,1407000,273000,1,5,273,4.55,3.8,23.45,16.2210338680927
"Sunil Malhotra","Gilmore",1,430000,430000,137000,1,5,137,2.28333333333333,7.16666666666667,7.16666666666667,8.14022578728461
"Felicia Day","Captain",1,55000,55000,96000,1,5,96,1.6,0.916666666666667,0.916666666666667,5.70409982174688
"Max Mittelman","Desmond",1,1491000,1491000,85000,1,5,85,1.41666666666667,24.85,24.85,5.05050505050505
"Matthew Mercer","Palace Guard",1,339000,339000,80000,1,5,80,1.33333333333333,5.65,5.65,4.7534165181224
"Grey DeLisle","Deliliah Briarwood",1,1501000,1501000,75000,1,5,75,1.25,25.0166666666667,25.0166666666667,4.45632798573975
"Matthew Mercer","Sylas Briarwood",1,1504000,1504000,72000,1,5,72,1.2,25.0666666666667,25.0666666666667,4.27807486631016
"Matthew Mercer","Trinket",1,351000,351000,68000,1,5,68,1.13333333333333,5.85,5.85,4.04040404040404
"Max Mittelman","Bandit 1",1,1518000,1518000,58000,1,5,58,0.966666666666667,25.3,25.3,3.44622697563874
"Felicia Day","Bandit 2",1,1523000,1523000,53000,1,5,53,0.883333333333333,25.3833333333333,25.3833333333333,3.14913844325609
