"partition_id","item_id","actor_name","character_name","time_position_ms","segment_start_ms","segment_end_ms","season","episode","character_name_original","time_position_sec","time_position_min","segment_duration_ms","segment_duration_sec","segment_duration_min"
2,"/name/nm1146051/Sovereign Uriel Tal'Dorei","Khary Payton","Sovereign Uriel",7000,4000,76000,1,7,"Sovereign Uriel Tal'Dorei",7,0.116666666666667,69000,69,1.15
2,"/name/nm0043552/Percival de Rolo","Taliesin Jaffe","Percival",9000,4000,76000,1,7,"Percival de Rolo",9,0.15,67000,67,1.11666666666667
2,"/name/nm0424534/Pike Trickfoot","Ashley Johnson","Pike",9000,4000,76000,1,7,"Pike Trickfoot",9,0.15,67000,67,1.11666666666667
2,"/name/nm0890055/Lady Allura Vysoren","Indira Varma","Lady Allura Vysoren",9000,4000,76000,1,7,"Lady Allura Vysoren",9,0.15,67000,67,1.11666666666667
2,"/name/nm0992184/Grog Strongjaw","Travis Willingham","Grog",9000,4000,76000,1,7,"Grog Strongjaw",9,0.15,67000,67,1.11666666666667
2,"/name/nm1154161/Vex'ahlia Vessar","Laura Bailey","Vex'ahlia",9000,4000,76000,1,7,"Vex'ahlia Vessar",9,0.15,67000,67,1.11666666666667
2,"/name/nm1240448/Vax'ildan Vessar","Liam O'Brien","Vax'ildan",9000,4000,76000,1,7,"Vax'ildan Vessar",9,0.15,67000,67,1.11666666666667
2,"/name/nm4065482/Keyleth","Marisha Ray","Keyleth",9000,4000,76000,1,7,"Keyleth",9,0.15,67000,67,1.11666666666667
3,"/name/nm0217221/Deliliah Briarwood","Grey DeLisle","Deliliah Briarwood",81000,76000,107000,1,7,"Deliliah Briarwood",81,1.35,26000,26,0.433333333333333
3,"/name/nm2233310/Sylas Briarwood","Matthew Mercer","Sylas Briarwood",82000,76000,107000,1,7,"Sylas Briarwood",82,1.36666666666667,25000,25,0.416666666666667
5,"/name/nm2233310/Trinket","Matthew Mercer","Trinket",177000,174000,433000,1,7,"Trinket",177,2.95,256000,256,4.26666666666667
5,"/name/nm0726184/Scanlan Shorthalt","Sam Riegel","Scanlan",180000,174000,433000,1,7,"Scanlan Shorthalt",180,3,253000,253,4.21666666666667
5,"/name/nm0126021/Captain Jarett","Eugene Byrd","Captain Jarett",181000,174000,433000,1,7,"Captain Jarett",181,3.01666666666667,252000,252,4.2
5,"/name/nm1240448/Vax'ildan Vessar","Liam O'Brien","Vax'ildan",185000,174000,433000,1,7,"Vax'ildan Vessar",185,3.08333333333333,248000,248,4.13333333333333
5,"/name/nm4065482/Keyleth","Marisha Ray","Keyleth",185000,174000,433000,1,7,"Keyleth",185,3.08333333333333,248000,248,4.13333333333333
5,"/name/nm0424534/Pike Trickfoot","Ashley Johnson","Pike",208000,174000,433000,1,7,"Pike Trickfoot",208,3.46666666666667,225000,225,3.75
5,"/name/nm0992184/Grog Strongjaw","Travis Willingham","Grog",208000,174000,433000,1,7,"Grog Strongjaw",208,3.46666666666667,225000,225,3.75
5,"/name/nm1154161/Vex'ahlia Vessar","Laura Bailey","Vex'ahlia",208000,174000,433000,1,7,"Vex'ahlia Vessar",208,3.46666666666667,225000,225,3.75
5,"/name/nm0043552/Percy","Taliesin Jaffe","Percival",216000,174000,433000,1,7,"Percy",216,3.6,217000,217,3.61666666666667
5,"/name/nm0217221/Deliliah Briarwood","Grey DeLisle","Deliliah Briarwood",380000,174000,433000,1,7,"Deliliah Briarwood",380,6.33333333333333,53000,53,0.883333333333333
5,"/name/nm2233310/Sylas Briarwood","Matthew Mercer","Sylas Briarwood",380000,174000,433000,1,7,"Sylas Briarwood",380,6.33333333333333,53000,53,0.883333333333333
