"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Sam Riegel",1,10,1,"Scanlan",7,846000,846,14.1,56.9313593539704
"Taliesin Jaffe",1,10,1,"Percival",8,747000,747,12.45,50.2691790040377
"Marisha Ray",1,10,1,"Keyleth",6,596000,596,9.93333333333333,40.1076716016151
"Travis Willingham",1,10,1,"Grog",6,543000,543,9.05,36.5410497981158
"Dominic Monaghan",1,10,1,"Archie",5,526000,526,8.76666666666667,35.3970390309556
"Laura Bailey",1,10,1,"Vex'ahlia",6,522000,522,8.7,35.1278600269179
"Liam O'Brien",1,10,1,"Vax'ildan",5,492000,492,8.2,33.1090174966353
"Rory McCann",1,10,1,"Duke Vedmire",4,368000,368,6.13333333333333,24.764468371467
"Stephen Root",1,10,1,"Professor Anders",4,330000,330,5.5,22.207267833109
"Esmé Creed-Miles",1,10,1,"Cassandra de Rolo",2,167000,167,2.78333333333333,11.2382234185734
"Grey DeLisle",1,10,1,"Cassandra de Rolo",1,80000,80,1.33333333333333,5.3835800807537
