"actor_name","episodes_appeared","characters_played","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","avg_screen_time_per_episode_min"
"Taliesin Jaffe",12,"Percival",11590000,11590,193.166666666667,16.0972222222222
"Travis Willingham",12,"Grog",11451000,11451,190.85,15.9041666666667
"Liam O'Brien",12,"Vax'ildan",11065000,11065,184.416666666667,15.3680555555556
"Marisha Ray",12,"Keyleth",11010000,11010,183.5,15.2916666666667
"Laura Bailey",12,"Vex'ahlia",10897000,10897,181.616666666667,15.1347222222222
"Sam Riegel",12,"Scanlan",10681000,10681,178.016666666667,14.8347222222222
"Ashley Johnson",11,"Pike",7780000,7780,129.666666666667,11.7878787878788
"Matthew Mercer",11,"Trinket, Agar, Fisherman, Narrator, Sylas Briarwood, Orthax, Palace Guard, Rebel, Giant, Steward, Enemy Archer",5536000,5536,92.2666666666667,8.38787878787879
"Esmé Creed-Miles",6,"Cassandra de Rolo",3862000,3862,64.3666666666667,10.7277777777778
"Grey DeLisle",11,"Deliliah Briarwood, Cassandra de Rolo",3566000,3566,59.4333333333333,5.4030303030303
"Dominic Monaghan",3,"Archie, Archibald Desnay",1835000,1835,30.5833333333333,10.1944444444444
"Rory McCann",3,"Duke Vedmire",1446000,1446,24.1,8.03333333333333
"Kelly Hu",2,"Anna Ripley",1314000,1314,21.9,10.95
"Indira Varma",4,"Lady Allura Vysoren",1246000,1246,20.7666666666667,5.19166666666667
"David Tennant",2,"General Krieg",1087000,1087,18.1166666666667,9.05833333333333
"Khary Payton",5,"Sovereign Uriel",1051000,1051,17.5166666666667,3.50333333333333
"Stephen Root",4,"Professor Anders",1044000,1044,17.4,4.35
"Gina Torres",4,"Keeper Yennen",990000,990,16.5,4.125
"Darin De Paul",2,"Stonefell",836000,836,13.9333333333333,6.96666666666667
"Eugene Byrd",2,"Jarrett, Captain Jarett",810000,810,13.5,6.75
"Tony Hale",2,"Sir Fince",732000,732,12.2,6.1
"Stephanie Beatriz",3,"Lady Kima of Vord",667000,667,11.1166666666667,3.70555555555556
"Anjali Bhimani",3,"Head Cleric",621000,621,10.35,3.45
"Sunil Malhotra",3,"Gilmore",421000,421,7.01666666666667,2.33888888888889
"Max Mittelman",2,"Desmond, Bandit 1",398000,398,6.63333333333333,3.31666666666667
"Stacey Raymond",2,"Bryn",218000,218,3.63333333333333,1.81666666666667
"Logic",1,"Palace Guard",210000,210,3.5,3.5
"Felicia Day",1,"Captain, Bandit 2",149000,149,2.48333333333333,2.48333333333333
"Tracie Thoms",1,"Everlight",141000,141,2.35,2.35
"Maximus Riegel",1,"Boy",74000,74,1.23333333333333,1.23333333333333
"Zoe O'Brien",1,"Girl",74000,74,1.23333333333333,1.23333333333333
"Mason Alexander Park",1,"Tavern Keeper",51000,51,0.85,0.85
"Kestrel Riegel",1,"Little Girl",22000,22,0.366666666666667,0.366666666666667
