"partition_id","item_id","actor_name","character_name","time_position_ms","segment_start_ms","segment_end_ms","season","episode","character_name_original","time_position_sec","time_position_min","segment_duration_ms","segment_duration_sec","segment_duration_min"
2,"/name/nm2233310/Narrator","Matthew Mercer","Narrator",8000,4000,63000,1,1,"Narrator",8,0.133333333333333,55000,55,0.916666666666667
3,"/name/nm0855039/General Krieg","David Tennant","General Krieg",67000,63000,124000,1,1,"General Krieg",67,1.11666666666667,57000,57,0.95
3,"/name/nm0355024/Sir Fince","Tony Hale","Sir Fince",73000,63000,124000,1,1,"Sir Fince",73,1.21666666666667,51000,51,0.85
3,"/name/nm0890055/Lady Allura Vysoren","Indira Varma","Lady Allura Vysoren",73000,63000,124000,1,1,"Lady Allura Vysoren",73,1.21666666666667,51000,51,0.85
3,"/name/nm1146051/Sovereign Uriel","Khary Payton","Sovereign Uriel",73000,63000,124000,1,1,"Sovereign Uriel",73,1.21666666666667,51000,51,0.85
3,"/name/nm3715867/Lady Kima of Vord","Stephanie Beatriz","Lady Kima of Vord",74000,63000,124000,1,1,"Lady Kima of Vord",74,1.23333333333333,50000,50,0.833333333333333
4,"/name/nm0043552/Percy","Taliesin Jaffe","Percival",125000,124000,230000,1,1,"Percy",125,2.08333333333333,105000,105,1.75
4,"/name/nm0424534/Pike","Ashley Johnson","Pike",126000,124000,230000,1,1,"Pike",126,2.1,104000,104,1.73333333333333
4,"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia",126000,124000,230000,1,1,"Vex'ahlia",126,2.1,104000,104,1.73333333333333
4,"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan",126000,124000,230000,1,1,"Vax'ildan",126,2.1,104000,104,1.73333333333333
4,"/name/nm4065482/Keyleth","Marisha Ray","Keyleth",127000,124000,230000,1,1,"Keyleth",127,2.11666666666667,103000,103,1.71666666666667
4,"/name/nm0992184/Grog","Travis Willingham","Grog",130000,124000,230000,1,1,"Grog",130,2.16666666666667,100000,100,1.66666666666667
4,"/name/nm2233310/Agar","Matthew Mercer","Agar",163000,124000,230000,1,1,"Agar",163,2.71666666666667,67000,67,1.11666666666667
6,"/name/nm0424534/Pike","Ashley Johnson","Pike",236000,235000,384000,1,1,"Pike",236,3.93333333333333,148000,148,2.46666666666667
6,"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan",238000,235000,384000,1,1,"Vax'ildan",238,3.96666666666667,146000,146,2.43333333333333
6,"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia",243000,235000,384000,1,1,"Vex'ahlia",243,4.05,141000,141,2.35
6,"/name/nm0043552/Percy","Taliesin Jaffe","Percival",250000,235000,384000,1,1,"Percy",250,4.16666666666667,134000,134,2.23333333333333
6,"/name/nm0992184/Grog","Travis Willingham","Grog",255000,235000,384000,1,1,"Grog",255,4.25,129000,129,2.15
6,"/name/nm2233310/Trinket","Matthew Mercer","Trinket",294000,235000,384000,1,1,"Trinket",294,4.9,90000,90,1.5
6,"/name/nm2233310/Agar","Matthew Mercer","Agar",308000,235000,384000,1,1,"Agar",308,5.13333333333333,76000,76,1.26666666666667
6,"/name/nm0726184/Scanlan","Sam Riegel","Scanlan",314000,235000,384000,1,1,"Scanlan",314,5.23333333333333,70000,70,1.16666666666667
6,"/name/nm4317622/Tavern Keeper","Mason Alexander Park","Tavern Keeper",333000,235000,384000,1,1,"Tavern Keeper",333,5.55,51000,51,0.85
7,"/name/nm0043552/Percy","Taliesin Jaffe","Percival",385000,384000,499000,1,1,"Percy",385,6.41666666666667,114000,114,1.9
7,"/name/nm0424534/Pike","Ashley Johnson","Pike",385000,384000,499000,1,1,"Pike",385,6.41666666666667,114000,114,1.9
7,"/name/nm0726184/Scanlan","Sam Riegel","Scanlan",385000,384000,499000,1,1,"Scanlan",385,6.41666666666667,114000,114,1.9
7,"/name/nm0992184/Grog","Travis Willingham","Grog",385000,384000,499000,1,1,"Grog",385,6.41666666666667,114000,114,1.9
7,"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia",385000,384000,499000,1,1,"Vex'ahlia",385,6.41666666666667,114000,114,1.9
7,"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan",385000,384000,499000,1,1,"Vax'ildan",385,6.41666666666667,114000,114,1.9
7,"/name/nm4065482/Keyleth","Marisha Ray","Keyleth",385000,384000,499000,1,1,"Keyleth",385,6.41666666666667,114000,114,1.9
8,"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia",505000,499000,718000,1,1,"Vex'ahlia",505,8.41666666666667,213000,213,3.55
8,"/name/nm4065482/Keyleth","Marisha Ray","Keyleth",505000,499000,718000,1,1,"Keyleth",505,8.41666666666667,213000,213,3.55
8,"/name/nm0043552/Percy","Taliesin Jaffe","Percival",506000,499000,718000,1,1,"Percy",506,8.43333333333333,212000,212,3.53333333333333
8,"/name/nm0992184/Grog","Travis Willingham","Grog",507000,499000,718000,1,1,"Grog",507,8.45,211000,211,3.51666666666667
8,"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan",507000,499000,718000,1,1,"Vax'ildan",507,8.45,211000,211,3.51666666666667
8,"/name/nm5225554/Palace Guard","Logic","Palace Guard",508000,499000,718000,1,1,"Palace Guard",508,8.46666666666667,210000,210,3.5
8,"/name/nm0424534/Pike","Ashley Johnson","Pike",510000,499000,718000,1,1,"Pike",510,8.5,208000,208,3.46666666666667
8,"/name/nm0726184/Scanlan","Sam Riegel","Scanlan",510000,499000,718000,1,1,"Scanlan",510,8.5,208000,208,3.46666666666667
8,"/name/nm2233310/Trinket","Matthew Mercer","Trinket",517000,499000,718000,1,1,"Trinket",517,8.61666666666667,201000,201,3.35
8,"/name/nm1146051/Sovereign Uriel","Khary Payton","Sovereign Uriel",530000,499000,718000,1,1,"Sovereign Uriel",530,8.83333333333333,188000,188,3.13333333333333
8,"/name/nm0355024/Sir Fince","Tony Hale","Sir Fince",535000,499000,718000,1,1,"Sir Fince",535,8.91666666666667,183000,183,3.05
8,"/name/nm0890055/Lady Allura Vysoren","Indira Varma","Lady Allura Vysoren",535000,499000,718000,1,1,"Lady Allura Vysoren",535,8.91666666666667,183000,183,3.05
8,"/name/nm3715867/Lady Kima of Vord","Stephanie Beatriz","Lady Kima of Vord",535000,499000,718000,1,1,"Lady Kima of Vord",535,8.91666666666667,183000,183,3.05
8,"/name/nm0855039/General Krieg","David Tennant","General Krieg",546000,499000,718000,1,1,"General Krieg",546,9.1,172000,172,2.86666666666667
9,"/name/nm0726184/Scanlan","Sam Riegel","Scanlan",718000,718000,933000,1,1,"Scanlan",718,11.9666666666667,215000,215,3.58333333333333
9,"/name/nm0992184/Grog","Travis Willingham","Grog",728000,718000,933000,1,1,"Grog",728,12.1333333333333,205000,205,3.41666666666667
9,"/name/nm4065482/Keyleth","Marisha Ray","Keyleth",728000,718000,933000,1,1,"Keyleth",728,12.1333333333333,205000,205,3.41666666666667
