"episode_file","season","episode","total_duration_ms","total_duration_sec","total_duration_min"
"Legends of Vox Machina Episode 1.json",1,1,1633000,1633,27.2166666666667
"Legends of Vox Machina Episode 10.json",1,2,1463000,1463,24.3833333333333
"Legends of Vox Machina Episode 11.json",1,3,1423000,1423,23.7166666666667
"Legends of Vox Machina Episode 12.json",1,4,1625000,1625,27.0833333333333
"Legends of Vox Machina Episode 2.json",1,5,1683000,1683,28.05
"Legends of Vox Machina Episode 3.json",1,6,1465000,1465,24.4166666666667
"Legends of Vox Machina Episode 4.json",1,7,1485000,1485,24.75
"Legends of Vox Machina Episode 5.json",1,8,1507000,1507,25.1166666666667
"Legends of Vox Machina Episode 6.json",1,9,1476000,1476,24.6
"Legends of Vox Machina Episode 7.json",1,10,1486000,1486,24.7666666666667
"Legends of Vox Machina Episode 8.json",1,11,1473000,1473,24.55
"Legends of Vox Machina Episode 9.json",1,12,1453000,1453,24.2166666666667
