"actor_name","character_name","episodes_appeared","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","avg_screen_time_per_episode_min","first_episode","last_episode"
"Taliesin Jaffe","Percival",12,81,11590000,11590,193.166666666667,16.0972222222222,1,12
"Travis Willingham","Grog",12,74,11451000,11451,190.85,15.9041666666667,1,12
"Liam O'Brien","Vax'ildan",12,76,11065000,11065,184.416666666667,15.3680555555556,1,12
"Marisha Ray","Keyleth",12,72,11010000,11010,183.5,15.2916666666667,1,12
"Laura Bailey","Vex'ahlia",12,75,10897000,10897,181.616666666667,15.1347222222222,1,12
"Sam Riegel","Scanlan",12,69,10681000,10681,178.016666666667,14.8347222222222,1,12
"Ashley Johnson","Pike",11,49,7780000,7780,129.666666666667,11.7878787878788,1,12
"Esmé Creed-Miles","Cassandra de Rolo",6,33,3862000,3862,64.3666666666667,10.7277777777778,2,12
"Grey DeLisle","Deliliah Briarwood",10,30,3343000,3343,55.7166666666667,5.57166666666667,2,12
"Matthew Mercer","Sylas Briarwood",9,26,2497000,2497,41.6166666666667,4.62407407407407,2,12
"Matthew Mercer","Trinket",4,10,1461000,1461,24.35,6.0875,1,7
"Rory McCann","Duke Vedmire",3,9,1446000,1446,24.1,8.03333333333333,9,12
"Kelly Hu","Anna Ripley",2,8,1314000,1314,21.9,10.95,2,3
"Indira Varma","Lady Allura Vysoren",4,10,1246000,1246,20.7666666666667,5.19166666666667,1,7
"Dominic Monaghan","Archie",2,9,1243000,1243,20.7166666666667,10.3583333333333,9,10
"David Tennant","General Krieg",2,6,1087000,1087,18.1166666666667,9.05833333333333,1,5
"Khary Payton","Sovereign Uriel",5,11,1051000,1051,17.5166666666667,3.50333333333333,1,7
"Stephen Root","Professor Anders",4,10,1044000,1044,17.4,4.35,4,11
"Gina Torres","Keeper Yennen",4,6,990000,990,16.5,4.125,2,12
"Darin De Paul","Stonefell",2,6,836000,836,13.9333333333333,6.96666666666667,4,9
"Eugene Byrd","Captain Jarett",1,5,794000,794,13.2333333333333,13.2333333333333,7,7
"Tony Hale","Sir Fince",2,5,732000,732,12.2,6.1,1,5
"Stephanie Beatriz","Lady Kima of Vord",3,6,667000,667,11.1166666666667,3.70555555555556,1,6
"Anjali Bhimani","Head Cleric",3,5,621000,621,10.35,3.45,8,11
"Dominic Monaghan","Archibald Desnay",1,3,592000,592,9.86666666666667,9.86666666666667,12,12
"Matthew Mercer","Rebel",2,4,540000,540,9,4.5,9,12
"Matthew Mercer","Orthax",1,3,508000,508,8.46666666666667,8.46666666666667,4,4
"Sunil Malhotra","Gilmore",3,4,421000,421,7.01666666666667,2.33888888888889,4,8
"Max Mittelman","Desmond",2,3,340000,340,5.66666666666667,2.83333333333333,5,6
"Grey DeLisle","Cassandra de Rolo",2,3,223000,223,3.71666666666667,1.85833333333333,4,10
"Stacey Raymond","Bryn",2,2,218000,218,3.63333333333333,1.81666666666667,9,12
"Logic","Palace Guard",1,1,210000,210,3.5,3.5,1,1
"Matthew Mercer","Agar",1,2,143000,143,2.38333333333333,2.38333333333333,1,1
"Tracie Thoms","Everlight",1,2,141000,141,2.35,2.35,11,11
"Matthew Mercer","Fisherman",1,1,97000,97,1.61666666666667,1.61666666666667,1,1
"Felicia Day","Captain",1,1,96000,96,1.6,1.6,5,5
"Matthew Mercer","Palace Guard",1,1,80000,80,1.33333333333333,1.33333333333333,5,5
"Maximus Riegel","Boy",1,1,74000,74,1.23333333333333,1.23333333333333,1,1
"Zoe O'Brien","Girl",1,1,74000,74,1.23333333333333,1.23333333333333,1,1
"Matthew Mercer","Steward",1,1,67000,67,1.11666666666667,1.11666666666667,11,11
"Max Mittelman","Bandit 1",1,1,58000,58,0.966666666666667,0.966666666666667,5,5
"Matthew Mercer","Narrator",1,1,55000,55,0.916666666666667,0.916666666666667,1,1
"Felicia Day","Bandit 2",1,1,53000,53,0.883333333333333,0.883333333333333,5,5
"Mason Alexander Park","Tavern Keeper",1,1,51000,51,0.85,0.85,1,1
"Matthew Mercer","Giant",1,1,46000,46,0.766666666666667,0.766666666666667,9,9
"Matthew Mercer","Enemy Archer",1,1,42000,42,0.7,0.7,11,11
"Kestrel Riegel","Little Girl",1,1,22000,22,0.366666666666667,0.366666666666667,8,8
"Eugene Byrd","Jarrett",1,1,16000,16,0.266666666666667,0.266666666666667,4,4
