"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Sam Riegel",1,9,1,"Scanlan",7,906000,906,15.1,62.3537508602891
"Taliesin Jaffe",1,9,1,"Percival",7,881000,881,14.6833333333333,60.6331727460427
"Laura Bailey",1,9,1,"Vex'ahlia",6,823000,823,13.7166666666667,56.641431520991
"Liam O'Brien",1,9,1,"Vax'ildan",6,820000,820,13.6666666666667,56.4349621472815
"Travis Willingham",1,9,1,"Grog",6,796000,796,13.2666666666667,54.7832071576049
"Marisha Ray",1,9,1,"Keyleth",5,696000,696,11.6,47.9008947006194
"Esmé Creed-Miles",1,9,1,"Cassandra de Rolo",6,653000,653,10.8833333333333,44.9415003441156
"Dominic Monaghan",1,9,1,"Archibald Desnay",3,592000,592,9.86666666666667,40.7432897453544
"Rory McCann",1,9,1,"Duke Vedmire",3,562000,562,9.36666666666667,38.6785960082588
"Grey DeLisle",1,9,1,"Deliliah Briarwood",3,336000,336,5.6,23.1245698554714
"Matthew Mercer",1,9,2,"Sylas Briarwood, Rebel",4,335000,335,5.58333333333333,23.0557467309016
"Ashley Johnson",1,9,1,"Pike",3,325000,325,5.41666666666667,22.367515485203
"Stacey Raymond",1,9,1,"Bryn",1,155000,155,2.58333333333333,10.6675843083276
"Gina Torres",1,9,1,"Keeper Yennen",2,70000,70,1.16666666666667,4.81761871988988
