"partition_id","item_id","actor_name","character_name","time_position_ms","segment_start_ms","segment_end_ms","season","episode","character_name_original","time_position_sec","time_position_min","segment_duration_ms","segment_duration_sec","segment_duration_min"
2,"/name/nm2233310/Sylas Briarwood","Matthew Mercer","Sylas Briarwood",12000,4000,90000,1,9,"Sylas Briarwood",12,0.2,78000,78,1.3
2,"/name/nm0217221/Deliliah Briarwood","Grey DeLisle","Deliliah Briarwood",15000,4000,90000,1,9,"Deliliah Briarwood",15,0.25,75000,75,1.25
3,"/name/nm0217221/Deliliah Briarwood","Grey DeLisle","Deliliah Briarwood",91000,90000,194000,1,9,"Deliliah Briarwood",91,1.51666666666667,103000,103,1.71666666666667
3,"/name/nm2233310/Sylas Briarwood","Matthew Mercer","Sylas Briarwood",102000,90000,194000,1,9,"Sylas Briarwood",102,1.7,92000,92,1.53333333333333
5,"/name/nm1240448/Vax'ildan Vessar","Liam O'Brien","Vax'ildan",277000,260000,497000,1,9,"Vax'ildan Vessar",277,4.61666666666667,220000,220,3.66666666666667
5,"/name/nm0043552/Percival de Rolo","Taliesin Jaffe","Percival",282000,260000,497000,1,9,"Percival de Rolo",282,4.7,215000,215,3.58333333333333
5,"/name/nm0726184/Scanlan Shorthalt","Sam Riegel","Scanlan",282000,260000,497000,1,9,"Scanlan Shorthalt",282,4.7,215000,215,3.58333333333333
5,"/name/nm0992184/Grog Strongjaw","Travis Willingham","Grog",282000,260000,497000,1,9,"Grog Strongjaw",282,4.7,215000,215,3.58333333333333
5,"/name/nm1154161/Vex'ahlia Vessar","Laura Bailey","Vex'ahlia",282000,260000,497000,1,9,"Vex'ahlia Vessar",282,4.7,215000,215,3.58333333333333
5,"/name/nm2962727/Cassandra","Esmé Creed-Miles","Cassandra de Rolo",282000,260000,497000,1,9,"Cassandra",282,4.7,215000,215,3.58333333333333
5,"/name/nm4065482/Keyleth","Marisha Ray","Keyleth",282000,260000,497000,1,9,"Keyleth",282,4.7,215000,215,3.58333333333333
5,"/name/nm3017290/Bryn","Stacey Raymond","Bryn",342000,260000,497000,1,9,"Bryn",342,5.7,155000,155,2.58333333333333
5,"/name/nm0597480/Archibald Desnay","Dominic Monaghan","Archibald Desnay",356000,260000,497000,1,9,"Archibald Desnay",356,5.93333333333333,141000,141,2.35
5,"/name/nm2233310/Rebel","Matthew Mercer","Rebel",490000,260000,497000,1,9,"Rebel",490,8.16666666666667,7000,7,0.116666666666667
6,"/name/nm0043552/Percival de Rolo","Taliesin Jaffe","Percival",497000,497000,608000,1,9,"Percival de Rolo",497,8.28333333333333,111000,111,1.85
6,"/name/nm2962727/Cassandra","Esmé Creed-Miles","Cassandra de Rolo",497000,497000,608000,1,9,"Cassandra",497,8.28333333333333,111000,111,1.85
6,"/name/nm0726184/Scanlan Shorthalt","Sam Riegel","Scanlan",512000,497000,608000,1,9,"Scanlan Shorthalt",512,8.53333333333333,96000,96,1.6
6,"/name/nm4065482/Keyleth","Marisha Ray","Keyleth",516000,497000,608000,1,9,"Keyleth",516,8.6,92000,92,1.53333333333333
6,"/name/nm0992184/Grog Strongjaw","Travis Willingham","Grog",527000,497000,608000,1,9,"Grog Strongjaw",527,8.78333333333333,81000,81,1.35
6,"/name/nm1154161/Vex'ahlia Vessar","Laura Bailey","Vex'ahlia",534000,497000,608000,1,9,"Vex'ahlia Vessar",534,8.9,74000,74,1.23333333333333
6,"/name/nm1240448/Vax'ildan Vessar","Liam O'Brien","Vax'ildan",534000,497000,608000,1,9,"Vax'ildan Vessar",534,8.9,74000,74,1.23333333333333
6,"/name/nm0597480/Archibald Desnay","Dominic Monaghan","Archibald Desnay",535000,497000,608000,1,9,"Archibald Desnay",535,8.91666666666667,73000,73,1.21666666666667
7,"/name/nm0564920/Duke Vedmire","Rory McCann","Duke Vedmire",610000,608000,623000,1,9,"Duke Vedmire",610,10.1666666666667,13000,13,0.216666666666667
7,"/name/nm0043552/Percival de Rolo","Taliesin Jaffe","Percival",615000,608000,623000,1,9,"Percival de Rolo",615,10.25,8000,8,0.133333333333333
7,"/name/nm0726184/Scanlan Shorthalt","Sam Riegel","Scanlan",615000,608000,623000,1,9,"Scanlan Shorthalt",615,10.25,8000,8,0.133333333333333
