"actor_name","character_name","num_appearances","first_appearance_ms","last_appearance_ms","total_screen_time_ms","season","episode","total_screen_time_sec","total_screen_time_min","first_appearance_min","last_appearance_min","percent_of_episode"
"Sam Riegel","Scanlan",7,282000,1312000,906000,1,9,906,15.1,4.7,21.8666666666667,62.3537508602891
"Taliesin Jaffe","Percival",7,282000,1267000,881000,1,9,881,14.6833333333333,4.7,21.1166666666667,60.6331727460427
"Laura Bailey","Vex'ahlia",6,282000,1273000,823000,1,9,823,13.7166666666667,4.7,21.2166666666667,56.641431520991
"Liam O'Brien","Vax'ildan",6,277000,1273000,820000,1,9,820,13.6666666666667,4.61666666666667,21.2166666666667,56.4349621472815
"Travis Willingham","Grog",6,282000,1273000,796000,1,9,796,13.2666666666667,4.7,21.2166666666667,54.7832071576049
"Marisha Ray","Keyleth",5,282000,1275000,696000,1,9,696,11.6,4.7,21.25,47.9008947006194
"Esmé Creed-Miles","Cassandra de Rolo",6,282000,1275000,653000,1,9,653,10.8833333333333,4.7,21.25,44.9415003441156
"Dominic Monaghan","Archibald Desnay",3,356000,657000,592000,1,9,592,9.86666666666667,5.93333333333333,10.95,40.7432897453544
"Rory McCann","Duke Vedmire",3,610000,1092000,562000,1,9,562,9.36666666666667,10.1666666666667,18.2,38.6785960082588
"Grey DeLisle","Deliliah Briarwood",3,15000,1071000,336000,1,9,336,5.6,0.25,17.85,23.1245698554714
"Matthew Mercer","Sylas Briarwood",3,12000,1071000,328000,1,9,328,5.46666666666667,0.2,17.85,22.5739848589126
"Ashley Johnson","Pike",3,980000,1270000,325000,1,9,325,5.41666666666667,16.3333333333333,21.1666666666667,22.367515485203
"Stacey Raymond","Bryn",1,342000,342000,155000,1,9,155,2.58333333333333,5.7,5.7,10.6675843083276
"Gina Torres","Keeper Yennen",2,1190000,1234000,70000,1,9,70,1.16666666666667,19.8333333333333,20.5666666666667,4.81761871988988
"Matthew Mercer","Rebel",1,490000,490000,7000,1,9,7,0.116666666666667,8.16666666666667,8.16666666666667,0.481761871988988
