"item_id","actor_name","character_name","character_name_standardized"
"/name/nm1146051/Soverign Uriel","Khary Payton","Soverign Uriel","Sovereign Uriel"
"/name/nm0043552/Percy","Taliesin Jaffe","Percy","Percival"
"/name/nm0424534/Pike","Ashley Johnson","Pike","Pike"
"/name/nm0539503/Gilmore","Sunil Malhotra","Gilmore","Gilmore"
"/name/nm0726184/Scanlan","Sam Riegel","Scanlan","Scanlan"
"/name/nm0992184/Grog","Travis Willingham","Grog","Grog"
"/name/nm1154161/Vex'ahlia","Laura Bailey","Vex'ahlia","Vex'ahlia"
"/name/nm1240448/Vax'ildan","Liam O'Brien","Vax'ildan","Vax'ildan"
"/name/nm4065482/Keyleth","Marisha Ray","Keyleth","Keyleth"
"/name/nm0838588/Salda","Cree Summer","Salda","Salda"
"/name/nm0714698/Thordak","Lance Reddick","Thordak","Thordak"
"/name/nm0838588/Raishan","Cree Summer","Raishan","Raishan"
"/name/nm1240448/Vorugal","Liam O'Brien","Vorugal","Vorugal"
"/name/nm2233310/Umbrasyl","Matthew Mercer","Umbrasyl","Umbrasyl"
"/name/nm0126021/Jarrett","Eugene Byrd","Jarrett","Jarrett"
"/name/nm0890055/Allura","Indira Varma","Allura","Lady Allura Vysoren"
"/name/nm0868659/Keeper Yennen","Gina Torres","Keeper Yennen","Keeper Yennen"
"/name/nm2962727/Cassandra","Esmé Creed-Miles","Cassandra","Cassandra de Rolo"
