"actor_name","seasons_appeared","episodes_appeared","characters_played","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","total_screen_time_hours","avg_screen_time_per_episode_min"
"Liam O'Brien",3,35,"Vax'ildan, Vorugal",36735000,36735,612.25,10.2041666666667,17.4928571428571
"Marisha Ray",3,35,"Keyleth",34399000,34399,573.316666666667,9.55527777777778,16.3804761904762
"Laura Bailey",3,35,"Vex'ahlia",33730000,33730,562.166666666667,9.36944444444444,16.0619047619048
"Travis Willingham",3,35,"Grog",33051000,33051,550.85,9.18083333333333,15.7385714285714
"Ashley Johnson",3,35,"Pike",30399000,30399,506.65,8.44416666666667,14.4757142857143
"Sam Riegel",3,36,"Scanlan",30392000,30392,506.533333333333,8.44222222222222,14.0703703703704
"Taliesin Jaffe",3,31,"Percival",29707000,29707,495.116666666667,8.25194444444444,15.9715053763441
"Matthew Mercer",3,30,"Trinket, Agar, Fisherman, Narrator, Sylas Briarwood, Orthax, Palace Guard, Rebel, Giant, Steward, Enemy Archer, Umbrasyl, Dr.Dranzel, Gate Guard, Victor, Dying Man, Dr. Dranzel, Katari, Drake Thunderbrand",12956000,12956,215.933333333333,3.59888888888889,7.19777777777778
"Indira Varma",3,17,"Lady Allura Vysoren",7688000,7688,128.133333333333,2.13555555555556,7.53725490196078
"Esmé Creed-Miles",3,14,"Cassandra de Rolo",6596000,6596,109.933333333333,1.83222222222222,7.85238095238095
"Sunil Malhotra",3,13,"Gilmore",5141000,5141,85.6833333333333,1.42805555555556,6.59102564102564
"Stephanie Beatriz",3,9,"Lady Kima of Vord",4713000,4713,78.55,1.30916666666667,8.72777777777778
"Kelly Hu",3,11,"Anna Ripley",3961000,3961,66.0166666666667,1.10027777777778,6.00151515151515
"Grey DeLisle",1,11,"Deliliah Briarwood, Cassandra de Rolo",3566000,3566,59.4333333333333,0.990555555555556,5.4030303030303
"Cree Summer",2,10,"Raishan, Salda",3491000,3491,58.1833333333333,0.969722222222222,5.81833333333333
"Gina Torres",3,11,"Keeper Yennen",3405000,3405,56.75,0.945833333333333,5.15909090909091
"Mary Elizabeth McGlynn",2,5,"Zahra",3209000,3209,53.4833333333333,0.891388888888889,10.6966666666667
"Lance Reddick",2,9,"Thordak",3183000,3183,53.05,0.884166666666667,5.89444444444444
"Will Friedle",2,5,"Kashaw",3174000,3174,52.9,0.881666666666667,10.58
"Aisling Franciosi",2,8,"Kaylie",2824000,2824,47.0666666666667,0.784444444444444,5.88333333333333
"Fred Tatasciore",2,3,"Korrin",2145000,2145,35.75,0.595833333333333,11.9166666666667
"Dominic Monaghan",1,3,"Archie, Archibald Desnay",1835000,1835,30.5833333333333,0.509722222222222,10.1944444444444
"Ike Amadi",2,3,"Earthbreaker Groon",1814000,1814,30.2333333333333,0.503888888888889,10.0777777777778
"Abubakar Salim",1,3,"Zanror",1500000,1500,25,0.416666666666667,8.33333333333333
"Troy Baker",2,3,"Syldor",1448000,1448,24.1333333333333,0.402222222222222,8.04444444444444
"Rory McCann",1,3,"Duke Vedmire",1446000,1446,24.1,0.401666666666667,8.03333333333333
"Ralph Ineson",1,2,"Kevdak",1382000,1382,23.0333333333333,0.383888888888889,11.5166666666667
"Debra Wilson",1,2,"Pa'tice",1373000,1373,22.8833333333333,0.381388888888889,11.4416666666667
"Khary Payton",2,6,"Sovereign Uriel",1233000,1233,20.55,0.3425,3.425
"Henry Winkler",1,2,"Wilhand Trickfoot",1117000,1117,18.6166666666667,0.310277777777778,9.30833333333333
"Eugene Byrd",3,4,"Jarrett, Captain Jarett, Jarett",1105000,1105,18.4166666666667,0.306944444444444,4.60416666666667
"David Tennant",1,2,"General Krieg",1087000,1087,18.1166666666667,0.301944444444444,9.05833333333333
"Billy Boyd",1,2,"Garmelie",1078000,1078,17.9666666666667,0.299444444444444,8.98333333333333
"Robbie Daymond",2,2,"Cerkonos",1050000,1050,17.5,0.291666666666667,8.75
"Stephen Root",1,4,"Professor Anders",1044000,1044,17.4,0.29,4.35
"Tony Plana",1,1,"Kamaljori",938000,938,15.6333333333333,0.260555555555556,15.6333333333333
"Luis Carazo",1,2,"Zerxus Ilerez",916000,916,15.2666666666667,0.254444444444444,7.63333333333333
"Darin De Paul",1,2,"Stonefell",836000,836,13.9333333333333,0.232222222222222,6.96666666666667
"Rachel House",1,2,"Dohla",828000,828,13.8,0.23,6.9
"Tony Hale",1,2,"Sir Fince",732000,732,12.2,0.203333333333333,6.1
"Anjali Bhimani",1,3,"Head Cleric",621000,621,10.35,0.1725,3.45
"Sendhil Ramamurthy",1,1,"Saunder",474000,474,7.9,0.131666666666667,7.9
"Courtenay Taylor",2,2,"Matron of Ravens",463000,463,7.71666666666667,0.128611111111111,3.85833333333333
"Max Mittelman",1,2,"Desmond, Bandit 1",398000,398,6.63333333333333,0.110555555555556,3.31666666666667
"Cheech Marin",1,1,"Trinket",384000,384,6.4,0.106666666666667,6.4
"Alanna Ubach",1,1,"Osysa",342000,342,5.7,0.095,5.7
"Mara Junot",1,1,"J'mon Sa Ord",339000,339,5.65,0.0941666666666667,5.65
"Jayla Lavender Nicholas",1,1,"Velora",307000,307,5.11666666666667,0.0852777777777778,5.11666666666667
"Toks Olagundoye",1,1,"Devana",305000,305,5.08333333333333,0.0847222222222222,5.08333333333333
"Tamara Podemski",1,1,"Uvenda",274000,274,4.56666666666667,0.0761111111111111,4.56666666666667
"Stacey Raymond",1,2,"Bryn",218000,218,3.63333333333333,0.0605555555555556,1.81666666666667
"Logic",1,1,"Palace Guard",210000,210,3.5,0.0583333333333333,3.5
"Kestrel Riegel",2,3,"Little Girl, Grand daughter, Young Keyleth",196000,196,3.26666666666667,0.0544444444444444,1.08888888888889
"Maximus Riegel",2,2,"Boy, Grandson",153000,153,2.55,0.0425,1.275
"Felicia Day",1,1,"Captain, Bandit 2",149000,149,2.48333333333333,0.0413888888888889,2.48333333333333
"Tracie Thoms",1,1,"Everlight",141000,141,2.35,0.0391666666666667,2.35
"Kimiko Glenn",1,1,"Anna Ripley",107000,107,1.78333333333333,0.0297222222222222,1.78333333333333
"Sumalee Montano",1,1,"Highbearer Vord",104000,104,1.73333333333333,0.0288888888888889,1.73333333333333
"Janet Varney",1,1,"Vilya",1e+05,100,1.66666666666667,0.0277777777777778,1.66666666666667
"Zoe O'Brien",1,1,"Girl",74000,74,1.23333333333333,0.0205555555555556,1.23333333333333
"Mason Alexander Park",1,1,"Tavern Keeper",51000,51,0.85,0.0141666666666667,0.85
