"episode_file","season","episode","total_duration_ms","total_duration_sec","total_duration_min"
"Legends of Vox Machina Episode 1.json",1,1,1633000,1633,27.2166666666667
"Legends of Vox Machina Episode 10.json",1,10,1463000,1463,24.3833333333333
"Legends of Vox Machina Episode 11.json",1,11,1423000,1423,23.7166666666667
"Legends of Vox Machina Episode 12.json",1,12,1625000,1625,27.0833333333333
"Legends of Vox Machina Episode 2.json",1,2,1683000,1683,28.05
"Legends of Vox Machina Episode 3.json",1,3,1465000,1465,24.4166666666667
"Legends of Vox Machina Episode 4.json",1,4,1485000,1485,24.75
"Legends of Vox Machina Episode 5.json",1,5,1507000,1507,25.1166666666667
"Legends of Vox Machina Episode 6.json",1,6,1476000,1476,24.6
"Legends of Vox Machina Episode 7.json",1,7,1486000,1486,24.7666666666667
"Legends of Vox Machina Episode 8.json",1,8,1473000,1473,24.55
"Legends of Vox Machina Episode 9.json",1,9,1453000,1453,24.2166666666667
"Legends of Vox Machina Season 2 Episode 1.json",2,1,1476000,1476,24.6
"Legends of Vox Machina Season 2 Episode 10.json",2,10,1589000,1589,26.4833333333333
"Legends of Vox Machina Season 2 Episode 11.json",2,11,1633000,1633,27.2166666666667
"Legends of Vox Machina Season 2 Episode 12.json",2,12,1778000,1778,29.6333333333333
"Legends of Vox Machina Season 2 Episode 2.json",2,2,1556000,1556,25.9333333333333
"Legends of Vox Machina Season 2 Episode 3.json",2,3,1559000,1559,25.9833333333333
"Legends of Vox Machina Season 2 Episode 4.json",2,4,1559000,1559,25.9833333333333
"Legends of Vox Machina Season 2 Episode 5.json",2,5,1576000,1576,26.2666666666667
"Legends of Vox Machina Season 2 Episode 6.json",2,6,1595000,1595,26.5833333333333
"Legends of Vox Machina Season 2 Episode 7.json",2,7,1631000,1631,27.1833333333333
"Legends of Vox Machina Season 2 Episode 8.json",2,8,1626000,1626,27.1
"Legends of Vox Machina Season 2 Episode 9.json",2,9,1621000,1621,27.0166666666667
"Legends of Vox Machina Season 3 Episode 1.json",3,1,1663000,1663,27.7166666666667
"Legends of Vox Machina Season 3 Episode 10.json",3,10,1570000,1570,26.1666666666667
"Legends of Vox Machina Season 3 Episode 11.json",3,11,1585000,1585,26.4166666666667
"Legends of Vox Machina Season 3 Episode 12.json",3,12,1738000,1738,28.9666666666667
"Legends of Vox Machina Season 3 Episode 2.json",3,2,1593000,1593,26.55
"Legends of Vox Machina Season 3 Episode 3.json",3,3,1582000,1582,26.3666666666667
"Legends of Vox Machina Season 3 Episode 4.json",3,4,1621000,1621,27.0166666666667
"Legends of Vox Machina Season 3 Episode 5.json",3,5,1510000,1510,25.1666666666667
"Legends of Vox Machina Season 3 Episode 6.json",3,6,1566000,1566,26.1
"Legends of Vox Machina Season 3 Episode 7.json",3,7,1571000,1571,26.1833333333333
"Legends of Vox Machina Season 3 Episode 8.json",3,8,1564000,1564,26.0666666666667
"Legends of Vox Machina Season 3 Episode 9.json",3,9,1538000,1538,25.6333333333333
