"actor_name","character_name","seasons_appeared","episodes_appeared","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","total_screen_time_hours","avg_screen_time_per_episode_min","first_season","last_season","first_episode","last_episode"
"Liam O'Brien","Vax'ildan",3,35,201,35071000,35071,584.516666666667,9.74194444444444,16.7004761904762,1,3,1,12
"Marisha Ray","Keyleth",3,35,196,34399000,34399,573.316666666667,9.55527777777778,16.3804761904762,1,3,1,12
"Laura Bailey","Vex'ahlia",3,35,193,33730000,33730,562.166666666667,9.36944444444444,16.0619047619048,1,3,1,12
"Travis Willingham","Grog",3,35,191,33051000,33051,550.85,9.18083333333333,15.7385714285714,1,3,1,12
"Ashley Johnson","Pike",3,35,169,30399000,30399,506.65,8.44416666666667,14.4757142857143,1,3,1,12
"Sam Riegel","Scanlan",3,36,181,30392000,30392,506.533333333333,8.44222222222222,14.0703703703704,1,3,1,12
"Taliesin Jaffe","Percival",3,31,182,29707000,29707,495.116666666667,8.25194444444444,15.9715053763441,1,3,1,12
"Indira Varma","Lady Allura Vysoren",3,17,43,7688000,7688,128.133333333333,2.13555555555556,7.53725490196078,1,3,1,12
"Esmé Creed-Miles","Cassandra de Rolo",3,14,48,6596000,6596,109.933333333333,1.83222222222222,7.85238095238095,1,3,1,12
"Sunil Malhotra","Gilmore",3,13,29,5141000,5141,85.6833333333333,1.42805555555556,6.59102564102564,1,3,1,12
"Stephanie Beatriz","Lady Kima of Vord",3,9,28,4713000,4713,78.55,1.30916666666667,8.72777777777778,1,3,1,12
"Kelly Hu","Anna Ripley",3,11,27,3961000,3961,66.0166666666667,1.10027777777778,6.00151515151515,1,3,1,12
"Matthew Mercer","Trinket",3,11,27,3749000,3749,62.4833333333333,1.04138888888889,5.68030303030303,1,3,1,10
"Gina Torres","Keeper Yennen",3,11,18,3405000,3405,56.75,0.945833333333333,5.15909090909091,1,3,1,12
"Grey DeLisle","Deliliah Briarwood",1,10,30,3343000,3343,55.7166666666667,0.928611111111111,5.57166666666667,1,1,2,12
