"character_name","actors","num_actors","seasons_appeared","episodes_appeared","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","total_screen_time_hours","avg_screen_time_per_episode_min","first_season","last_season"
"Vax'ildan","Liam O'Brien",1,3,35,201,35071000,35071,584.516666666667,9.74194444444444,16.7004761904762,1,3
"Keyleth","Marisha Ray",1,3,35,196,34399000,34399,573.316666666667,9.55527777777778,16.3804761904762,1,3
"Vex'ahlia","Laura Bailey",1,3,35,193,33730000,33730,562.166666666667,9.36944444444444,16.0619047619048,1,3
"Grog","Travis Willingham",1,3,35,191,33051000,33051,550.85,9.18083333333333,15.7385714285714,1,3
"Pike","Ashley Johnson",1,3,35,169,30399000,30399,506.65,8.44416666666667,14.4757142857143,1,3
"Scanlan","Sam Riegel",1,3,36,181,30392000,30392,506.533333333333,8.44222222222222,14.0703703703704,1,3
"Percival","Taliesin Jaffe",1,3,31,182,29707000,29707,495.116666666667,8.25194444444444,15.9715053763441,1,3
"Lady Allura Vysoren","Indira Varma",1,3,17,43,7688000,7688,128.133333333333,2.13555555555556,7.53725490196078,1,3
"Cassandra de Rolo","Esmé Creed-Miles / Grey DeLisle",2,3,14,51,6819000,6819,113.65,1.89416666666667,8.11785714285714,1,3
"Gilmore","Sunil Malhotra",1,3,13,29,5141000,5141,85.6833333333333,1.42805555555556,6.59102564102564,1,3
"Lady Kima of Vord","Stephanie Beatriz",1,3,9,28,4713000,4713,78.55,1.30916666666667,8.72777777777778,1,3
"Trinket","Matthew Mercer / Cheech Marin",2,3,12,29,4133000,4133,68.8833333333333,1.14805555555556,5.74027777777778,1,3
"Anna Ripley","Kelly Hu / Kimiko Glenn",2,3,11,28,4068000,4068,67.8,1.13,6.16363636363636,1,3
"Keeper Yennen","Gina Torres",1,3,11,18,3405000,3405,56.75,0.945833333333333,5.15909090909091,1,3
"Deliliah Briarwood","Grey DeLisle",1,1,10,30,3343000,3343,55.7166666666667,0.928611111111111,5.57166666666667,1,1
"Zahra","Mary Elizabeth McGlynn",1,2,5,16,3209000,3209,53.4833333333333,0.891388888888889,10.6966666666667,2,3
"Thordak","Lance Reddick",1,2,9,21,3183000,3183,53.05,0.884166666666667,5.89444444444444,2,3
"Kashaw","Will Friedle",1,2,5,16,3174000,3174,52.9,0.881666666666667,10.58,2,3
"Raishan","Cree Summer",1,2,10,21,3100000,3100,51.6666666666667,0.861111111111111,5.16666666666667,2,3
"Kaylie","Aisling Franciosi",1,2,8,19,2824000,2824,47.0666666666667,0.784444444444444,5.88333333333333,2,3
"Umbrasyl","Matthew Mercer",1,1,8,19,2597000,2597,43.2833333333333,0.721388888888889,5.41041666666667,2,2
"Sylas Briarwood","Matthew Mercer",1,1,9,26,2497000,2497,41.6166666666667,0.693611111111111,4.62407407407407,1,1
"Korrin","Fred Tatasciore",1,2,3,13,2145000,2145,35.75,0.595833333333333,11.9166666666667,2,3
"Earthbreaker Groon","Ike Amadi",1,2,3,7,1814000,1814,30.2333333333333,0.503888888888889,10.0777777777778,2,3
