"actor_name","season","episodes_appeared","characters_played","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","avg_screen_time_per_episode_min"
"Liam O'Brien",2,11,"Vax'ildan, Vorugal",11748000,11748,195.8,17.8
"Marisha Ray",2,11,"Keyleth",11555000,11555,192.583333333333,17.5075757575758
"Ashley Johnson",2,12,"Pike",11545000,11545,192.416666666667,16.0347222222222
"Travis Willingham",2,12,"Grog",11528000,11528,192.133333333333,16.0111111111111
"Laura Bailey",2,11,"Vex'ahlia",11347000,11347,189.116666666667,17.1924242424242
"Taliesin Jaffe",2,11,"Percival",11134000,11134,185.566666666667,16.869696969697
"Sam Riegel",2,12,"Scanlan",10447000,10447,174.116666666667,14.5097222222222
"Matthew Mercer",2,11,"Umbrasyl, Trinket, Dr.Dranzel, Gate Guard, Victor, Dying Man, Dr. Dranzel",5454000,5454,90.9,8.26363636363636
"Will Friedle",2,3,"Kashaw",2201000,2201,36.6833333333333,12.2277777777778
"Mary Elizabeth McGlynn",2,3,"Zahra",2070000,2070,34.5,11.5
"Aisling Franciosi",2,4,"Kaylie",1773000,1773,29.55,7.3875
"Abubakar Salim",2,3,"Zanror",1500000,1500,25,8.33333333333333
"Ralph Ineson",2,2,"Kevdak",1382000,1382,23.0333333333333,11.5166666666667
"Sunil Malhotra",2,3,"Gilmore",1292000,1292,21.5333333333333,7.17777777777778
"Lance Reddick",2,5,"Thordak",1225000,1225,20.4166666666667,4.08333333333333
"Henry Winkler",2,2,"Wilhand Trickfoot",1117000,1117,18.6166666666667,9.30833333333333
"Billy Boyd",2,2,"Garmelie",1078000,1078,17.9666666666667,8.98333333333333
"Kelly Hu",2,5,"Anna Ripley",1049000,1049,17.4833333333333,3.49666666666667
"Cree Summer",2,2,"Raishan, Salda",1046000,1046,17.4333333333333,8.71666666666667
"Indira Varma",2,3,"Lady Allura Vysoren",944000,944,15.7333333333333,5.24444444444444
"Tony Plana",2,1,"Kamaljori",938000,938,15.6333333333333,15.6333333333333
"Ike Amadi",2,1,"Earthbreaker Groon",698000,698,11.6333333333333,11.6333333333333
"Fred Tatasciore",2,1,"Korrin",629000,629,10.4833333333333,10.4833333333333
"Gina Torres",2,3,"Keeper Yennen",609000,609,10.15,3.38333333333333
"Esmé Creed-Miles",2,3,"Cassandra de Rolo",605000,605,10.0833333333333,3.36111111111111
"Stephanie Beatriz",2,1,"Lady Kima of Vord",499000,499,8.31666666666667,8.31666666666667
"Sendhil Ramamurthy",2,1,"Saunder",474000,474,7.9,7.9
"Cheech Marin",2,1,"Trinket",384000,384,6.4,6.4
"Robbie Daymond",2,1,"Cerkonos",379000,379,6.31666666666667,6.31666666666667
"Troy Baker",2,1,"Syldor",365000,365,6.08333333333333,6.08333333333333
"Alanna Ubach",2,1,"Osysa",342000,342,5.7,5.7
"Jayla Lavender Nicholas",2,1,"Velora",307000,307,5.11666666666667,5.11666666666667
"Toks Olagundoye",2,1,"Devana",305000,305,5.08333333333333,5.08333333333333
"Eugene Byrd",2,1,"Jarrett",266000,266,4.43333333333333,4.43333333333333
"Courtenay Taylor",2,1,"Matron of Ravens",248000,248,4.13333333333333,4.13333333333333
"Khary Payton",2,1,"Sovereign Uriel",182000,182,3.03333333333333,3.03333333333333
"Kestrel Riegel",2,2,"Grand daughter, Young Keyleth",174000,174,2.9,1.45
"Sumalee Montano",2,1,"Highbearer Vord",104000,104,1.73333333333333,1.73333333333333
"Janet Varney",2,1,"Vilya",1e+05,100,1.66666666666667,1.66666666666667
"Maximus Riegel",2,1,"Grandson",79000,79,1.31666666666667,1.31666666666667
