"character_name","season","actors","num_actors","episodes_appeared","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","avg_screen_time_per_episode_min","first_episode","last_episode"
"Vax'ildan",3,"Liam O'Brien",1,12,60,12462000,12462,207.7,17.3083333333333,1,12
"Keyleth",3,"Marisha Ray",1,12,59,11834000,11834,197.233333333333,16.4361111111111,1,12
"Vex'ahlia",3,"Laura Bailey",1,12,55,11486000,11486,191.433333333333,15.9527777777778,1,12
"Pike",3,"Ashley Johnson",1,12,51,11074000,11074,184.566666666667,15.3805555555556,1,12
"Grog",3,"Travis Willingham",1,11,49,10072000,10072,167.866666666667,15.2606060606061,1,12
"Scanlan",3,"Sam Riegel",1,12,48,9264000,9264,154.4,12.8666666666667,1,12
"Percival",3,"Taliesin Jaffe",1,8,36,6983000,6983,116.383333333333,14.5479166666667,1,8
"Lady Allura Vysoren",3,"Indira Varma",1,10,27,5498000,5498,91.6333333333333,9.16333333333333,3,12
"Lady Kima of Vord",3,"Stephanie Beatriz",1,5,18,3547000,3547,59.1166666666667,11.8233333333333,3,12
"Gilmore",3,"Sunil Malhotra",1,7,17,3428000,3428,57.1333333333333,8.16190476190476,1,12
"Raishan",3,"Cree Summer",1,8,17,2445000,2445,40.75,5.09375,1,12
"Cassandra de Rolo",3,"Esmé Creed-Miles",1,5,11,2129000,2129,35.4833333333333,7.09666666666667,1,9
"Thordak",3,"Lance Reddick",1,4,11,1958000,1958,32.6333333333333,8.15833333333333,1,9
"Keeper Yennen",3,"Gina Torres",1,4,8,1806000,1806,30.1,7.525,1,8
"Anna Ripley",3,"Kelly Hu / Kimiko Glenn",2,4,12,1705000,1705,28.4166666666667,7.10416666666667,1,7
"Korrin",3,"Fred Tatasciore",1,2,8,1516000,1516,25.2666666666667,12.6333333333333,10,11
"Vorugal",3,"Liam O'Brien",1,3,8,1460000,1460,24.3333333333333,8.11111111111111,1,5
"Pa'tice",3,"Debra Wilson",1,2,8,1373000,1373,22.8833333333333,11.4416666666667,10,11
"Zahra",3,"Mary Elizabeth McGlynn",1,2,4,1139000,1139,18.9833333333333,9.49166666666667,8,9
"Orthax",3,"Matthew Mercer",1,4,6,1134000,1134,18.9,4.725,2,12
"Earthbreaker Groon",3,"Ike Amadi",1,2,4,1116000,1116,18.6,9.3,8,9
"Syldor",3,"Troy Baker",1,2,5,1083000,1083,18.05,9.025,8,9
"Kaylie",3,"Aisling Franciosi",1,4,6,1051000,1051,17.5166666666667,4.37916666666667,6,12
"Kashaw",3,"Will Friedle",1,2,3,973000,973,16.2166666666667,8.10833333333333,8,9
"Zerxus Ilerez",3,"Luis Carazo",1,2,3,916000,916,15.2666666666667,7.63333333333333,4,7
"Dohla",3,"Rachel House",1,2,4,828000,828,13.8,6.9,3,5
"Cerkonos",3,"Robbie Daymond",1,1,2,671000,671,11.1833333333333,11.1833333333333,8,8
"J'mon Sa Ord",3,"Mara Junot",1,1,3,339000,339,5.65,5.65,2,2
"Katari",3,"Matthew Mercer",1,1,1,314000,314,5.23333333333333,5.23333333333333,10,10
"Trinket",3,"Matthew Mercer",1,2,3,286000,286,4.76666666666667,2.38333333333333,1,8
"Uvenda",3,"Tamara Podemski",1,1,2,274000,274,4.56666666666667,4.56666666666667,10,10
"Matron of Ravens",3,"Courtenay Taylor",1,1,1,215000,215,3.58333333333333,3.58333333333333,12,12
"Drake Thunderbrand",3,"Matthew Mercer",1,1,1,145000,145,2.41666666666667,2.41666666666667,5,5
"Dr. Dranzel",3,"Matthew Mercer",1,1,1,87000,87,1.45,1.45,10,10
"Jarett",3,"Eugene Byrd",1,1,1,29000,29,0.483333333333333,0.483333333333333,3,3
